customer_id,customer_age,gender,customer_city,segment,signup_year
1,32,Male,Pune,Regular,2022
2,25,Female,Hyderabad,Regular,2023
3,41,Male,Pune,VIP,2024
4,55,Female,Delhi,Regular,2021
5,23,Male,Chennai,Regular,2022
6,52,Male,Mumbai,Regular,2022
7,18,Male,Delhi,Regular,2024
8,63,Female,Pune,Premium,2024
9,29,Female,Kolkata,Premium,2022
10,28,Female,Chennai,Regular,2024
11,59,Male,Kolkata,VIP,2022
12,56,Male,Bangalore,VIP,2023
13,28,Female,Kolkata,VIP,2024
14,48,Female,Mumbai,Premium,2021
15,30,Male,Chennai,Regular,2022
16,58,Female,Hyderabad,VIP,2022
17,41,Male,Mumbai,Regular,2021
18,48,Female,Chennai,Regular,2023
19,58,Male,Chennai,Premium,2022
20,19,Female,Bangalore,VIP,2022
21,32,Female,Chennai,VIP,2023
22,60,Female,Kolkata,Premium,2023
23,23,Female,Chennai,Premium,2023
24,28,Male,Pune,Premium,2023
25,62,Female,Kolkata,Premium,2024
26,45,Male,Hyderabad,Regular,2022
27,55,Female,Bangalore,Premium,2023
28,24,Male,Kolkata,VIP,2023
29,35,Male,Pune,Premium,2022
30,58,Female,Mumbai,VIP,2024
31,19,Male,Kolkata,Premium,2024
32,37,Male,Mumbai,Regular,2022
33,60,Female,Kolkata,VIP,2022
34,24,Female,Bangalore,VIP,2022
35,47,Male,Hyderabad,Premium,2022
36,22,Female,Delhi,VIP,2023
37,18,Female,Delhi,VIP,2022
38,18,Male,Hyderabad,VIP,2023
39,19,Male,Delhi,VIP,2021
40,37,Male,Pune,Premium,2021
41,40,Male,Delhi,Regular,2021
42,41,Male,Pune,VIP,2024
43,29,Female,Delhi,Regular,2022
44,37,Male,Bangalore,VIP,2022
45,18,Female,Chennai,Regular,2022
46,50,Male,Pune,Premium,2024
47,31,Female,Chennai,Premium,2024
48,22,Female,Chennai,Premium,2023
49,41,Female,Delhi,VIP,2024
50,48,Female,Hyderabad,Regular,2023
51,30,Male,Bangalore,VIP,2024
52,41,Female,Hyderabad,VIP,2021
53,41,Male,Chennai,Premium,2022
54,43,Female,Pune,VIP,2022
55,33,Male,Hyderabad,Regular,2022
56,63,Female,Mumbai,VIP,2021
57,28,Male,Bangalore,VIP,2023
58,52,Male,Hyderabad,VIP,2023
59,46,Male,Mumbai,Premium,2021
60,34,Female,Delhi,VIP,2022
61,56,Female,Delhi,Premium,2022
62,45,Female,Chennai,Premium,2021
63,60,Female,Delhi,Premium,2023
64,27,Female,Delhi,Premium,2023
65,59,Female,Mumbai,Premium,2022
66,29,Female,Hyderabad,Regular,2023
67,59,Male,Chennai,VIP,2022
68,49,Male,Pune,Regular,2024
69,59,Female,Pune,Regular,2024
70,43,Female,Pune,Premium,2023
71,18,Male,Delhi,VIP,2024
72,59,Male,Hyderabad,Regular,2022
73,34,Male,Hyderabad,Premium,2022
74,56,Male,Pune,VIP,2023
75,44,Female,Pune,Premium,2021
76,39,Female,Mumbai,VIP,2022
77,63,Male,Hyderabad,Regular,2021
78,18,Male,Bangalore,Regular,2021
79,37,Female,Hyderabad,VIP,2021
80,36,Male,Hyderabad,VIP,2024
81,57,Female,Mumbai,Premium,2021
82,21,Female,Chennai,VIP,2021
83,58,Female,Mumbai,Regular,2024
84,39,Female,Bangalore,Premium,2022
85,29,Male,Chennai,VIP,2022
86,60,Male,Pune,Premium,2023
87,26,Female,Mumbai,VIP,2022
88,36,Female,Pune,VIP,2024
89,64,Female,Bangalore,Premium,2023
90,33,Female,Hyderabad,VIP,2021
91,33,Male,Pune,Regular,2021
92,54,Female,Hyderabad,VIP,2023
93,36,Female,Pune,Regular,2022
94,54,Male,Delhi,Premium,2021
95,34,Male,Mumbai,Premium,2024
96,43,Female,Kolkata,Premium,2022
97,25,Female,Mumbai,Premium,2021
98,50,Female,Kolkata,VIP,2022
99,47,Female,Hyderabad,Regular,2023
100,37,Male,Pune,Regular,2024
101,35,Male,Kolkata,Regular,2023
102,27,Female,Kolkata,VIP,2024
103,21,Male,Delhi,Regular,2021
104,21,Female,Bangalore,Regular,2021
105,42,Male,Hyderabad,VIP,2021
106,35,Male,Bangalore,Premium,2021
107,41,Male,Bangalore,Premium,2022
108,50,Male,Bangalore,VIP,2022
109,36,Female,Mumbai,Regular,2021
110,45,Male,Kolkata,Premium,2023
111,56,Female,Kolkata,Regular,2021
112,27,Male,Chennai,Regular,2021
113,59,Male,Bangalore,VIP,2021
114,26,Female,Pune,Premium,2024
115,64,Female,Hyderabad,VIP,2023
116,52,Female,Chennai,Premium,2021
117,22,Male,Kolkata,VIP,2021
118,39,Male,Chennai,VIP,2024
119,58,Female,Kolkata,VIP,2023
120,24,Female,Chennai,VIP,2024
121,40,Female,Mumbai,Premium,2024
122,42,Male,Pune,Regular,2023
123,58,Female,Mumbai,Premium,2022
124,51,Female,Mumbai,Regular,2023
