order_id,customer_id,region,product_category,sales,cost,discount,order_date,revenue,profit
1001,39,North,Electronics,3218,1996,10,2024-01-01,3109,1113
1002,29,North,Grocery,2241,2599,15,2024-01-02,2164,-435
1003,15,West,Electronics,3159,1274,,2024-01-03,3017,1743
1004,43,South,Grocery,4648,978,5,2024-01-04,4519,3541
1005,8,South,Furniture,3059,2086,5,2024-01-05,3013,927
1006,21,South,Grocery,2365,2558,10,2024-01-06,2284,-274
1007,39,East,Furniture,2579,2829,10,2024-01-07,2443,-386
1008,19,South,Grocery,4746,2849,0,2024-01-08,4631,1782
1009,23,East,Electronics,1735,974,,2024-01-09,1634,660
1010,11,West,Grocery,1857,1631,15,2024-01-10,1817,186
1011,11,East,Electronics,4552,439,5,2024-01-11,4421,3982
1012,24,West,Grocery,2170,1667,0,2024-01-12,2024,357
1013,36,South,Grocery,2949,2980,0,2024-01-13,2889,-91
1014,40,South,Clothing,3351,305,5,2024-01-14,3313,3008
1015,24,West,Electronics,3830,758,15,2024-01-15,3781,3023
1016,3,North,Clothing,2589,1888,0,2024-01-16,2539,651
1017,22,West,Electronics,1731,1994,0,2024-01-17,1711,-283
1018,2,North,Clothing,2916,2547,,2024-01-18,2756,209
1019,24,East,Furniture,1115,59,15,2024-01-19,1105,1046
1020,44,East,Grocery,1448,2921,0,2024-01-20,1393,-1528
1021,30,East,Electronics,4711,847,15,2024-01-21,4601,3754
1022,38,South,Electronics,3187,926,5,2024-01-22,3029,2103
1023,2,East,Grocery,2939,1078,10,2024-01-23,2840,1762
1024,21,North,Electronics,435,1065,0,2024-01-24,316,-749
1025,33,East,Electronics,4692,1874,,2024-01-25,4519,2645
1026,12,West,Clothing,995,423,5,2024-01-26,804,381
1027,22,West,Electronics,3646,2243,15,2024-01-27,3580,1337
1028,44,South,Furniture,951,273,5,2024-01-28,941,668
1029,25,West,Furniture,1787,1312,0,2024-01-29,1715,403
1030,49,North,Grocery,2031,2274,15,2024-01-30,1840,-434
1031,27,East,Electronics,3846,1852,10,2024-01-31,3782,1930
1032,42,South,Grocery,2527,902,5,2024-02-01,2403,1501
1033,28,East,Furniture,1668,112,0,2024-02-02,1491,1379
1034,16,East,Electronics,4100,1290,,2024-02-03,3948,2658
1035,15,North,Electronics,2838,2924,15,2024-02-04,2680,-244
1036,47,West,Grocery,3598,2892,5,2024-02-05,3414,522
1037,44,West,Furniture,4013,738,5,2024-02-06,3951,3213
1038,3,East,Electronics,1166,1534,10,2024-02-07,1020,-514
1039,37,South,Grocery,4480,1683,10,2024-02-08,4291,2608
1040,7,West,Furniture,2544,2202,,2024-02-09,2478,276
1041,21,South,Grocery,4207,560,,2024-02-10,4081,3521
1042,9,West,Clothing,3473,434,0,2024-02-11,3310,2876
1043,39,South,Electronics,4069,454,0,2024-02-12,3891,3437
1044,18,North,Clothing,2646,2920,,2024-02-13,2602,-318
1045,4,South,Furniture,853,567,,2024-02-14,781,214
1046,25,North,Clothing,2182,525,15,2024-02-15,2148,1623
1047,14,North,Clothing,2874,2050,10,2024-02-16,2775,725
1048,50,South,Furniture,2996,2806,0,2024-02-17,2912,106
1049,9,North,Grocery,4285,1718,10,2024-02-18,4238,2520
1050,26,East,Clothing,875,1943,10,2024-02-19,736,-1207
1051,2,North,Grocery,1725,2868,,2024-02-20,1581,-1287
1052,20,West,Clothing,3169,1510,15,2024-02-21,2998,1488
1053,28,South,Grocery,517,2774,5,2024-02-22,417,-2357
1054,47,East,Furniture,214,763,15,2024-02-23,188,-575
1055,7,South,Clothing,716,132,15,2024-02-24,579,447
1056,44,West,Furniture,4074,1218,10,2024-02-25,3894,2676
1057,8,West,Clothing,3367,2554,15,2024-02-26,3171,617
1058,47,West,Furniture,925,1951,0,2024-02-27,808,-1143
1059,35,North,Furniture,1616,2098,10,2024-02-28,1428,-670
1060,14,North,Clothing,3246,100,0,2024-02-29,3055,2955
1061,17,South,Clothing,512,734,5,2024-03-01,351,-383
1062,36,South,Clothing,828,766,10,2024-03-02,794,28
1063,50,East,Electronics,3448,1519,5,2024-03-03,3259,1740
1064,40,East,Grocery,2908,498,10,2024-03-04,2811,2313
1065,4,South,Electronics,775,930,,2024-03-05,605,-325
1066,2,North,Electronics,3565,537,15,2024-03-06,3379,2842
1067,6,West,Furniture,2604,1873,,2024-03-07,2566,693
1068,42,South,Clothing,3067,2131,5,2024-03-08,2995,864
1069,4,East,Grocery,2886,2192,15,2024-03-09,2727,535
1070,29,North,Furniture,1222,1624,10,2024-03-10,1059,-565
1071,18,South,Electronics,4179,2251,15,2024-03-11,4014,1763
1072,26,South,Clothing,1671,299,0,2024-03-12,1548,1249
1073,44,North,Furniture,2243,723,15,2024-03-13,2185,1462
1074,34,South,Clothing,1787,487,0,2024-03-14,1697,1210
1075,10,North,Furniture,4232,2215,15,2024-03-15,4139,1924
1076,36,West,Clothing,3951,820,0,2024-03-16,3837,3017
1077,14,North,Electronics,3540,317,5,2024-03-17,3354,3037
1078,31,North,Grocery,3866,2034,,2024-03-18,3709,1675
1079,48,North,Electronics,2426,1127,10,2024-03-19,2299,1172
1080,15,South,Grocery,3014,285,15,2024-03-20,2919,2634
1081,8,South,Clothing,4052,438,,2024-03-21,3980,3542
1082,14,North,Furniture,695,812,10,2024-03-22,497,-315
1083,23,South,Electronics,828,1898,10,2024-03-23,715,-1183
1084,40,East,Grocery,1465,2498,0,2024-03-24,1407,-1091
1085,21,East,Electronics,4592,673,5,2024-03-25,4512,3839
1086,16,South,Grocery,798,2864,5,2024-03-26,788,-2076
1087,45,South,Electronics,495,1302,,2024-03-27,345,-957
1088,18,North,Grocery,4271,2950,5,2024-03-28,4083,1133
1089,47,West,Grocery,4460,627,15,2024-03-29,4328,3701
1090,24,South,Clothing,2602,2172,5,2024-03-30,2409,237
1091,26,East,Grocery,1919,484,,2024-03-31,1848,1364
1092,25,North,Clothing,817,2200,5,2024-04-01,776,-1424
1093,45,South,Grocery,2882,813,15,2024-04-02,2715,1902
1094,41,East,Furniture,3677,2835,0,2024-04-03,3639,804
1095,29,East,Furniture,243,2903,,2024-04-04,185,-2718
1096,15,West,Furniture,3240,1379,0,2024-04-05,3058,1679
1097,45,North,Grocery,4591,2195,0,2024-04-06,4552,2357
1098,1,North,Clothing,3038,2895,0,2024-04-07,2885,-10
1099,25,West,Clothing,3736,1408,10,2024-04-08,3559,2151
1100,7,West,Grocery,3322,2956,10,2024-04-09,3294,338
1101,9,North,Furniture,1267,2532,0,2024-04-10,1240,-1292
1102,24,North,Furniture,2716,496,,2024-04-11,2706,2210
1103,1,South,Clothing,1162,2067,15,2024-04-12,1075,-992
1104,44,South,Furniture,2256,1381,15,2024-04-13,2132,751
1105,8,West,Electronics,3082,298,5,2024-04-14,2898,2600
1106,24,South,Clothing,3394,215,,2024-04-15,3272,3057
1107,11,East,Furniture,4829,1408,10,2024-04-16,4706,3298
1108,17,South,Clothing,1256,1069,0,2024-04-17,1081,12
1109,8,South,Electronics,832,591,5,2024-04-18,644,53
1110,35,East,Clothing,4430,808,15,2024-04-19,4358,3550
1111,35,West,Clothing,4946,2178,10,2024-04-20,4805,2627
1112,33,East,Clothing,1053,2230,10,2024-04-21,915,-1315
1113,5,South,Clothing,2639,846,0,2024-04-22,2622,1776
1114,42,West,Electronics,3424,2997,15,2024-04-23,3258,261
1115,39,South,Grocery,3401,187,,2024-04-24,3337,3150
1116,41,East,Clothing,1642,2281,10,2024-04-25,1530,-751
1117,28,East,Clothing,1291,1403,0,2024-04-26,1151,-252
1118,7,South,Furniture,3093,2882,,2024-04-27,3052,170
1119,9,North,Clothing,2781,1925,15,2024-04-28,2762,837
1120,8,North,Furniture,1317,118,10,2024-04-29,1198,1080
1121,12,East,Grocery,1640,2643,,2024-04-30,1469,-1174
1122,34,East,Electronics,3336,2150,,2024-05-01,3203,1053
1123,33,North,Electronics,2486,1523,,2024-05-02,2390,867
1124,48,North,Grocery,3819,254,10,2024-05-03,3755,3501
1125,23,South,Electronics,1488,2223,10,2024-05-04,1447,-776
1126,24,South,Grocery,1956,92,5,2024-05-05,1769,1677
1127,37,North,Grocery,1465,1956,15,2024-05-06,1321,-635
1128,35,South,Grocery,599,2208,0,2024-05-07,497,-1711
1129,44,South,Electronics,1780,810,,2024-05-08,1763,953
1130,40,West,Furniture,610,2945,5,2024-05-09,536,-2409
1131,22,South,Grocery,4412,2192,0,2024-05-10,4346,2154
1132,27,East,Clothing,1424,2044,5,2024-05-11,1348,-696
1133,35,South,Electronics,1255,1985,10,2024-05-12,1059,-926
1134,1,South,Grocery,1927,949,,2024-05-13,1846,897
1135,35,North,Grocery,3241,409,0,2024-05-14,3178,2769
1136,37,East,Clothing,3586,2997,0,2024-05-15,3510,513
1137,47,South,Furniture,1910,1769,0,2024-05-16,1850,81
1138,14,South,Furniture,3023,330,0,2024-05-17,2917,2587
1139,3,West,Furniture,2314,1937,0,2024-05-18,2213,276
1140,1,South,Grocery,4286,716,5,2024-05-19,4269,3553
1141,5,South,Grocery,813,142,,2024-05-20,642,500
1142,26,West,Grocery,3702,721,10,2024-05-21,3658,2937
1143,14,North,Electronics,4234,2019,10,2024-05-22,4129,2110
1144,39,South,Clothing,3622,110,10,2024-05-23,3525,3415
1145,27,West,Grocery,4368,2731,10,2024-05-24,4281,1550
1146,9,East,Clothing,4848,1078,5,2024-05-25,4807,3729
1147,15,North,Clothing,4949,1539,15,2024-05-26,4820,3281
1148,15,East,Furniture,1343,653,,2024-05-27,1288,635
1149,26,East,Electronics,3809,731,0,2024-05-28,3656,2925
1150,42,West,Grocery,1181,2631,15,2024-05-29,1007,-1624
1151,13,South,Furniture,555,1478,10,2024-05-30,364,-1114
1152,32,West,Furniture,994,2935,15,2024-05-31,843,-2092
1153,39,West,Grocery,1484,2742,,2024-06-01,1420,-1322
1154,49,West,Clothing,2058,2330,0,2024-06-02,1873,-457
1155,32,West,Furniture,3172,573,0,2024-06-03,3156,2583
1156,4,North,Clothing,2096,2443,,2024-06-04,2013,-430
1157,30,South,Electronics,4385,2643,,2024-06-05,4369,1726
1158,37,East,Clothing,604,2018,10,2024-06-06,434,-1584
1159,23,East,Electronics,1314,1151,0,2024-06-07,1154,3
1160,39,South,Clothing,1631,1803,15,2024-06-08,1537,-266
1161,45,East,Furniture,3540,1886,5,2024-06-09,3384,1498
1162,15,South,Furniture,923,2891,5,2024-06-10,802,-2089
1163,43,East,Electronics,1028,2346,,2024-06-11,894,-1452
1164,29,West,Grocery,233,2144,10,2024-06-12,77,-2067
1165,36,East,Electronics,2205,1194,5,2024-06-13,2160,966
1166,13,South,Electronics,3727,2311,0,2024-06-14,3689,1378
1167,32,South,Clothing,4880,2336,,2024-06-15,4683,2347
1168,7,South,Clothing,1952,1129,15,2024-06-16,1861,732
1169,22,South,Electronics,4275,2447,,2024-06-17,4264,1817
1170,28,South,Furniture,3033,156,15,2024-06-18,2895,2739
1171,2,North,Clothing,3384,2928,,2024-06-19,3328,400
1172,42,North,Grocery,4398,97,,2024-06-20,4241,4144
1173,45,East,Clothing,2911,386,,2024-06-21,2891,2505
1174,6,South,Clothing,1350,1099,15,2024-06-22,1211,112
1175,28,East,Grocery,3612,2901,15,2024-06-23,3484,583
1176,28,South,Electronics,1356,1330,,2024-06-24,1207,-123
1177,44,South,Grocery,3476,2105,5,2024-06-25,3447,1342
1178,44,North,Electronics,3586,674,10,2024-06-26,3572,2898
1179,20,North,Electronics,3684,1940,10,2024-06-27,3638,1698
1180,30,West,Electronics,1496,1326,10,2024-06-28,1321,-5
1181,11,North,Grocery,3737,1765,15,2024-06-29,3591,1826
1182,28,West,Electronics,3430,2816,15,2024-06-30,3368,552
1183,25,West,Furniture,2803,352,5,2024-07-01,2622,2270
1184,39,West,Grocery,570,688,10,2024-07-02,462,-226
1185,33,West,Furniture,1453,105,10,2024-07-03,1358,1253
1186,1,West,Electronics,2883,775,,2024-07-04,2766,1991
1187,27,East,Clothing,2931,575,15,2024-07-05,2898,2323
1188,13,North,Electronics,457,523,10,2024-07-06,367,-156
1189,41,West,Furniture,3119,77,5,2024-07-07,2952,2875
1190,3,South,Furniture,767,2175,5,2024-07-08,638,-1537
1191,39,North,Grocery,4568,414,10,2024-07-09,4500,4086
1192,6,North,Clothing,1245,2763,15,2024-07-10,1108,-1655
1193,8,West,Grocery,4285,575,5,2024-07-11,4162,3587
1194,27,East,Furniture,3819,2796,,2024-07-12,3695,899
1195,9,West,Electronics,2845,1385,5,2024-07-13,2822,1437
1196,37,East,Clothing,639,932,0,2024-07-14,621,-311
1197,33,South,Electronics,2879,1080,0,2024-07-15,2830,1750
1198,42,North,Electronics,4236,1076,15,2024-07-16,4202,3126
1199,44,South,Clothing,4935,1696,10,2024-07-17,4823,3127
1200,24,East,Grocery,3875,968,15,2024-07-18,3844,2876
